Route_URL,Page_Role,Primary_Keyword,Secondary_Keywords,Search_Intent,Funnel_Stage,SEO_Title,Meta_Description,H1,Canonical_URL,Region_Focus,Keyword_Volume,Keyword_Difficulty
/,Homepage,project management certification pathways,"PM Structure; PMP 2026 readiness; project management exam prep; certification roadmap",Brand + commercial investigation,Conversion,PM Structure | PMP 2026 Readiness & Project Certification Pathways,"Prepare for the PMP 2026 exam change with structured roadmap support, eligibility guidance, study planning, mock tracking, and independent certification pathway guidance.","Prepare for the PMP exam change with a clear route, not random study noise.",https://pmstructure.com/,Global,Needs keyword research,Needs keyword research
/certifications,Certification hub,project management certifications,"PMP certification; PRINCE2 certification; PMI-RMP; Lean Six Sigma; certification pathways",Commercial investigation,Consideration,Project Management Certification Pathways | PM Structure,"Compare PMP, PRINCE2, PMI-RMP, Lean Six Sigma, and other project management certification pathways with structured guidance from PM Structure.",Choose the project management certification pathway that fits your role.,https://pmstructure.com/certifications,Global,Needs keyword research,Needs keyword research
/certifications/pmp,Main PMP commercial page,PMP 2026 readiness pathway,"PMP exam 2026; updated PMP exam; PMP study plan; PMP eligibility; PMP roadmap",Commercial,Conversion,PMP 2026 Readiness Pathway | PM Structure,"Decide whether to prepare for the current or updated PMP exam. Build a structured PMP 2026 roadmap with eligibility guidance, study planning, mock tracking, and readiness support.",PMP 2026 Readiness Pathway,https://pmstructure.com/certifications/pmp,"GCC; South Asia",Needs keyword research,Needs keyword research
/answers/is-the-pmp-exam-changing-in-2026,Direct answer,is the PMP exam changing in 2026,"PMP exam change 2026; PMP new exam date; PMP exam July 2026",Informational,Awareness,Is the PMP Exam Changing in 2026? | PM Structure,"Yes. The PMP exam changes in July 2026. Learn what the change means, whether to prepare for the current or updated exam, and how to plan your PMP route.",Is the PMP exam changing in 2026?,https://pmstructure.com/answers/is-the-pmp-exam-changing-in-2026,Global,Needs keyword research,Needs keyword research
/topics/pmp-exam-2026,Topic hub,PMP exam 2026,"PMP 2026 changes; updated PMP domains; PMP 2026 preparation",Informational / hub,Awareness + consideration,PMP Exam 2026 Guide | Changes Timeline & Preparation,"Understand the PMP exam 2026 change, updated exam route, domain weighting, timeline decisions, and preparation structure with PM Structure.",PMP Exam 2026 Guide,https://pmstructure.com/topics/pmp-exam-2026,Global,Needs keyword research,Needs keyword research
/faq,FAQ / trust page,PM Structure FAQ,"PMP training hours; PM Structure PMI affiliation; PMP pass guarantee; exam fee included",Trust,Trust,PM Structure FAQ | PMP Certification Prep & Readiness Support,"Find answers about PM Structure, PMP 2026 readiness, certification-body ownership, training-hour guidance, exam fees, membership, and independent preparation support.",PM Structure FAQ,https://pmstructure.com/faq,Global,Needs keyword research,Needs keyword research
/certifications/compare,Comparison page,compare project management certifications,"PMP vs PRINCE2; PMP vs PMI-RMP; PMP vs Six Sigma; which certification should I choose",Commercial investigation,Consideration,"Compare Project Management Certifications | PMP, PRINCE2, PMI-RMP & Six Sigma","Compare PMP, PRINCE2, PMI-RMP, Lean Six Sigma, and other project management certification pathways by role fit, intent, difficulty, and next step.",Compare project management certifications,https://pmstructure.com/certifications/compare,Global,Needs keyword research,Needs keyword research
/certifications/pmi-rmp,Secondary certification page,PMI-RMP exam preparation,"PMI risk management certification; PMI-RMP pathway; risk management certification",Commercial investigation,Waitlist / secondary,PMI-RMP Exam Preparation Pathway | PM Structure,"Explore the PMI-RMP risk management pathway with independent study support, readiness guidance, and comparison support from PM Structure.",PMI-RMP Risk Management Pathway,https://pmstructure.com/certifications/pmi-rmp,Global,Needs keyword research,Needs keyword research
/certifications/prince2-practitioner,Secondary certification page,PRINCE2 Practitioner preparation,"PRINCE2 Foundation vs Practitioner; PRINCE2 certification pathway",Commercial investigation,Waitlist / secondary,PRINCE2 Practitioner Preparation Pathway | PM Structure,"Explore PRINCE2 Practitioner preparation with independent pathway guidance, study support, and certification comparison from PM Structure.",PRINCE2 Practitioner Pathway,https://pmstructure.com/certifications/prince2-practitioner,Global,Needs keyword research,Needs keyword research
/certifications/lss-yellow,Secondary certification page,Lean Six Sigma Yellow Belt preparation,"LSS Yellow Belt; process improvement certification; Six Sigma basics",Commercial investigation,Waitlist / secondary,Lean Six Sigma Yellow Belt Preparation | PM Structure,"Explore Lean Six Sigma Yellow Belt preparation with process-improvement learning, independent study support, and pathway guidance.",Lean Six Sigma Yellow Belt Pathway,https://pmstructure.com/certifications/lss-yellow,Global,Needs keyword research,Needs keyword research
