Action_ID,Action,Area,Owner,Priority,Due_Before,Status,Notes
OA-001,Run full Screaming Frog/Sitebulb crawl and attach export to repo or scan register,Crawl QA,Mahaa,High,Final verification,Partially Verified,Lightweight sitemap audit attached evidence/b15-sitemap-url-audit-2026-06-20.json (50-URL sample 0 failures). Full SF export still required.
OA-002,Verify GSC sitemap submitted and priority URLs indexed,GSC,Mahaa,High,Post-deploy,Pending owner login,Public prerequisites verified 2026-06-20. Follow evidence/GSC_GA4_OWNER_ACTIONS.md. Attach SCAN-005 screenshot.
OA-003,Verify GA4 key events in DebugView/Tag Assistant after cookie consent,GA4,Mahaa,High,Post-deploy,Pending owner login,Public prerequisites verified 2026-06-20. Follow evidence/GSC_GA4_OWNER_ACTIONS.md. Attach SCAN-004 screenshot.
OA-004,Confirm legacy /pmp decision: keep T-032 hub OR 301 to /certifications/pmp,Redirects,Sheikh,High,Before any consolidation,Verified,G2 owner default 2026-06-19: keep T-032 /pmp hub live alongside /certifications/pmp; no 301.
OA-005,Confirm legacy /pmp-exam-2026 decision: keep cluster OR 301 to /topics/pmp-exam-2026,Redirects,Sheikh,High,Before any consolidation,Verified,G3 owner default 2026-06-19: keep /pmp-exam-2026 cluster; metadata fixed; no 301.
OA-006,Confirm legal URL canonical structure and approve /terms → /legal/terms redirect,Legal routes,Sheikh,Medium,Before final sitemap sign-off,Verified,/privacy and /terms redirect verified in production 2026-06-19 and 2026-06-20.
OA-011,Reintroduce portal learner testimonials only with written permission proof,Trust/compliance,Sheikh,High,Before any testimonial restore,Needs Owner Approval,G6 unchanged: testimonials stay removed until written permission.
OA-007,Legal review of trademark/disclaimer wording on PMP pages,Legal,Sheikh,High,Before broad publish,Pending,PMP/PMI mark and independent-platform language. Formal sign-off row pending in qa-signoff register.
OA-008,Approve regional routes before creation,Regional SEO,Sheikh,Medium,Before route creation,Pending,G5 owner default 2026-06-19: regional routes deferred; schedule rows Blocked.
OA-009,Provide PageSpeed/Lighthouse baseline for priority URLs mobile + desktop,Performance,Developer,Medium,Post-deploy,Partially Verified,PSI batch + prior mobile evidence 2026-06-22. See evidence/psi-batch-summary-2026-06-22.json and seo-remaining-closeout-2026-06-22.md
OA-010,Create legitimate digital PR outreach list from planning register,Backlinks,Mahaa,Medium,After content launch,Pending,No fake backlinks. See pmstructure-digital-pr-backlink-register.csv.
OA-012,Run live forms smoke tests (roadmap + waitlist + newsletter) to Inbox and Google Sheet,Interactions,Developer,High,Post-deploy,Verified,3/3 HTTP 201 after deploy 819fae3 (2026-06-22). Supabase storage OK. Google Sheets not configured on prod — optional owner env.
