Claim,Page_URL,Current_Copy,Source_Required,Official_Source_URL,Verification_Status,Last_Reviewed,Reviewer,Recommended_Copy,Public_Copy_Status,Legal_Risk,Notes
Updated PMP exam launch date,All PMP 2026 pages,Live copy uses 9 July 2026 planning anchor,Yes,https://www.pmi.org/certifications/project-management-pmp/new-exam,Verified,2026-06-19,Sheikh M. Abdullah,"The updated PMP exam launches on 9 July 2026.",Approved for factual use,Low,"Verify again before each major publish."
Current PMP exam final sitting date,All PMP 2026 pages,Live copy uses before 8 July 2026 narrative,Yes,https://www.pmi.org/certifications/project-management-pmp/new-exam,Verified,2026-06-19,Sheikh M. Abdullah,"Candidates planning to take the current PMP exam version need to sit before 8 July 2026.",Approved for factual use,Low,"Use careful wording: before 8 July 2026."
Current vs updated exam date distinction,All PMP 2026 pages,Used in flagship-t169 and cluster pages,Yes,https://www.pmi.org/blog/pmp-exam-change,Verified,2026-06-19,Sheikh M. Abdullah,"Current exam refers to the version available before 8 July 2026; updated exam refers to the version from 9 July 2026 onward.",Approved for factual use,Low,"Useful for answer pages."
Updated PMP domain weights,All PMP 2026 pages,Published in flagship-t169 domain table,Yes,https://www.pmi.org/-/media/pmi/documents/public/pdf/certifications/new-pmp-examination-content-outline-2026.pdf,Verified,2026-06-19,Sheikh M. Abdullah,"Updated PMP exam weighting: People 33%, Process 41%, Business Environment 26%.",Approved for factual use,Low,"Source: PMI 2026 ECO."
Current PMP domain weights,Comparison/current exam pages,Not yet on all comparison pages,Yes,https://www.pmi.org/certifications/project-management-pmp,Verified,2026-06-19,Sheikh M. Abdullah,"Current PMP exam weighting: People 42%, Process 50%, Business Environment 8%.",Approved for factual use,Low,"Use only when comparing current vs updated exam."
Updated PMP exam question count,All PMP 2026 pages,Partial — registry shows current exam format only,Yes,https://www.pmi.org/-/media/pmi/documents/public/pdf/certifications/new-pmp-examination-content-outline-2026.pdf,Verified,2026-06-19,Sheikh M. Abdullah,"The updated PMP exam has 180 total questions, including 170 scored questions and 10 unscored pretest questions.",Approved for factual use,Low,"Do not overcomplicate top-of-page copy."
Updated PMP exam duration,All PMP 2026 pages,Published in flagship-t169 comparison table,Yes,https://www.pmi.org/-/media/pmi/documents/public/pdf/certifications/new-pmp-examination-content-outline-2026.pdf,Verified,2026-06-19,Sheikh M. Abdullah,"The updated PMP exam allows 240 minutes.",Approved for factual use,Low,"Use 240 minutes for updated exam."
Current PMP exam duration,Comparison/current exam pages,certifications-registry and siteData,Yes,https://www.pmi.org/certifications/project-management-pmp,Verified,2026-06-19,Sheikh M. Abdullah,"The current PMP exam page lists 180 questions and 230 minutes.",Approved for factual use,Low,"Use only for current-exam comparison."
Current PMP training-hour wording,FAQ and PMP pages,Safe training-hour FAQ copy,Yes,https://www.pmi.org/certifications/project-management-pmp,Verified,2026-06-19,Sheikh M. Abdullah,"PMI currently describes the requirement as 35 hours of project management education/training.",Approved for factual use,Medium,"Do not call this 35 PDUs."
Updated PMP commercial training wording,FAQ and PMP 2026 pages,Not yet on all FAQ pages,Yes,https://www.pmi.org/-/media/pmi/documents/public/pdf/certifications/new-pmp-examination-content-outline-2026.pdf,Verified,2026-06-19,Sheikh M. Abdullah,"The 2026 ECO refers to at least 35 hours of commercial training in project management aligned with the PMP ECO.",Approved for factual use,Medium,"Use carefully; avoid implying PM Structure automatically satisfies requirement unless offer is verified."
Books/practice exams alone not accepted,FAQ and PMP 2026 pages,Not yet published on FAQ,Yes,https://www.pmi.org/-/media/pmi/documents/public/pdf/certifications/new-pmp-examination-content-outline-2026.pdf,Verified,2026-06-19,Sheikh M. Abdullah,"Books and practice exams alone are not accepted as eligible commercial training.",Approved for factual use,Low,"Useful in FAQ."
PMI warning about misleading claims,Legal/FAQ/PMP pages,Compliance guidance in disclaimer.ts,Yes,https://www.pmi.org/-/media/pmi/documents/public/pdf/certifications/new-pmp-examination-content-outline-2026.pdf,Verified,2026-06-19,Sheikh M. Abdullah,"Avoid misleading claims and guaranteed exam-success language.",Approved for internal compliance use,High,"Do not publish as accusation against competitors."
