Date,Week,Channel,Topic,Content_Type,Funnel_Stage,Primary_CTA,Destination_Link,Owner,Status,SEO_AEO_GEO_Target,Required_Assets,Notes
2026-06-18,Week 1,Website,PMP 2026 Readiness Pathway becomes primary offer,Homepage / landing page update,Conversion,Get My PMP 2026 Roadmap,TBD,Developer + Mahaa,Done,PMP 2026 readiness,"Homepage copy, CTA, form destination",Make PMP 2026 the main offer. Verified in repo 2026-06-19 Verified in repo 2026-06-19
2026-06-19,Week 1,Website,Current PMP vs updated PMP exam route,PMP page section,Consideration,Get My PMP 2026 Roadmap,TBD,Developer + Mahaa,Done,current PMP vs updated PMP,"Comparison table, PMI source note",Add before/after decision table. Verified in repo 2026-06-19 Verified in repo 2026-06-19
2026-06-20,Week 1,Website,PMP eligibility and training-hour guidance,FAQ / page section,Trust,Get My PMP 2026 Roadmap,TBD,Mahaa,Done,PMP eligibility training hours,"FAQ copy, disclaimer",Avoid 35 PDUs wording. Verified in repo 2026-06-19 Verified in repo 2026-06-19. T169 eligibility section on /pmp-exam-2026#eligibility-training-hours
2026-06-21,Week 1,LinkedIn,The PMP 2026 change is not just a date change,LinkedIn post,Awareness,Get My PMP 2026 Roadmap,TBD,Sheikh,Copy ready,PMP 2026 exam change,Post copy,Founder-led thought leadership. Copy in marketing-drafts/90-day-social-email-copy.md
2026-06-22,Week 1,X / Threads,Sitting before or after 9 July 2026?,Short post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP exam date decision,Short post copy,Drive to roadmap. Copy in marketing-drafts/90-day-social-email-copy.md
2026-06-23,Week 1,Email / Newsletter,PMP 2026: current route or updated route?,Email,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP 2026 route,Email copy,Explain decision path. Copy in marketing-drafts/90-day-social-email-copy.md
2026-06-24,Week 1,Website,Add roadmap form tracking,Form / analytics task,Conversion,Form submit,TBD,Developer,Done,conversion tracking,"GA4/GTM events, form destination",Track roadmap requests. Verified in repo 2026-06-19 Verified in repo 2026-06-19
2026-06-25,Week 2,Website,Is the PMP exam changing in 2026?,Direct answer page,Awareness,Get My PMP 2026 Roadmap,TBD,Mahaa,N/A,is PMP exam changing in 2026,"Answer page copy, schema",Build answer hub. Answer page live in repo Answer page live in repo
2026-06-26,Week 2,Website,Should I take PMP before 8 July 2026?,Direct answer page,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,N/A,take PMP before July 2026,Answer page copy,Decision support. Answer page live in repo Answer page live in repo
2026-06-27,Week 2,Website,Should I prepare for the updated PMP exam?,Direct answer page,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,N/A,updated PMP exam preparation,Answer page copy,Decision support. Answer page live in repo Answer page live in repo
2026-06-28,Week 2,LinkedIn,Many PMP candidates are studying for the wrong exam route,LinkedIn post,Awareness,Get My PMP 2026 Roadmap,TBD,Sheikh,Copy ready,PMP study route,Post copy,Pain-point post. Copy in marketing-drafts/90-day-social-email-copy.md
2026-06-29,Week 2,X / Threads,Your PMP timeline decides your study route,Short post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP timeline,Short post copy,Short CTA. Copy in marketing-drafts/90-day-social-email-copy.md
2026-06-30,Week 2,Email / Newsletter,PMP 2026 route checklist,Email / checklist,Conversion,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP 2026 checklist,Checklist copy,Lead capture. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-01,Week 2,Website,Add FAQ schema to PMP 2026 answers,Technical SEO,AEO/GEO,N/A,TBD,Developer,Done,FAQ schema,FAQ schema implementation,Support AI visibility. Verified in repo 2026-06-19 Verified in repo 2026-06-19
2026-07-02,Week 3,Website,PMP eligibility explained safely,Article / FAQ,Trust,Get My PMP 2026 Roadmap,TBD,Mahaa,Done,PMP eligibility,Article copy,Compliance-safe.. FAQ hub + T169 eligibility section live in repo
2026-07-03,Week 3,Website,PMP training hours vs PDUs,Direct answer page,Trust,Get My PMP 2026 Roadmap,TBD,Mahaa,Done,PMP training hours vs PDUs,Answer page copy,Fix terminology.. /answers/pmp-training-hours-vs-pdus published 2026-06-19
2026-07-04,Week 3,LinkedIn,Stop calling PMP eligibility training PDUs,LinkedIn post,Trust,Read the guide,TBD,Sheikh,Copy ready,PMP PDUs training hours,Post copy,Trust-building. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-05,Week 3,X / Threads,PMP candidates need training-hour clarity not buzzwords,Short post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP training hours,Short post copy,Short CTA. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-06,Week 3,Website,Add compliance note to PMP page,Page update,Trust,N/A,TBD,Developer + Mahaa,Done,PMP independent prep,Disclaimer copy,Avoid overclaims.. Compliance section on /pmp-exam-2026 (#compliance)
2026-07-07,Week 3,Email / Newsletter,PMP eligibility: what to verify before applying,Email,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP application eligibility,Email copy,Trust content. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-08,Week 3,Internal,Current PMP exam final transition checkpoint,Internal review,Operations,N/A,TBD,Sheikh,Planned,internal checkpoint,Metrics review,Review pre-change messaging.. Owner ops — not dev
2026-07-09,Week 4,Website,Updated PMP exam is now live,Update / banner,Awareness,Get My PMP 2026 Roadmap,TBD,Developer + Mahaa,Done,updated PMP exam live,Banner copy,Done closeout 2026-06-22: PmpExam2026LiveBanner
2026-07-10,Week 4,LinkedIn,The PMP 2026 exam change is now active,LinkedIn post,Awareness,Get My PMP 2026 Roadmap,TBD,Sheikh,Copy ready,PMP 2026 exam change,Post copy,Date-based post. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-11,Week 4,Website,Updated PMP domain weights explained,Article,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Done,PMP domain weights,Article copy,People Process Business Environment.. /answers/what-are-the-pmp-2026-domain-weights + cluster pages
2026-07-12,Week 4,X / Threads,People 33% Process 41% Business Environment 26%,Short post,Awareness,Read guide,TBD,Sheikh,Copy ready,PMP domain weights,Short post copy,Use exact weights. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-13,Week 4,Email / Newsletter,What changed in the PMP exam after 9 July 2026,Email,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,updated PMP exam,Email copy,Post-change email. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-14,Week 4,Website,Update PMP page metadata and schema,SEO task,AEO/GEO,N/A,TBD,Developer,Done,PMP 2026 schema,"Metadata, schema",Done closeout 2026-06-22: phase-2 distinct titles
2026-07-15,Week 4,Internal,30-day lead and learner checkpoint,Internal review,Operations,N/A,TBD,Sheikh,Planned,proof checkpoint,Lead and learner numbers,Use kill/pivot thresholds.. Owner ops — not dev
2026-07-16,Week 5,Website,PMP for engineers,Landing/article page,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Done,PMP for engineers,Page copy,Done closeout 2026-06-22: #pmp-engineer-faq on PMP cluster + /pmp-exam-2026
2026-07-17,Week 5,Website,PMP for construction and infrastructure professionals,Article,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Planned,PMP construction infrastructure,Article copy,GCC fit.
2026-07-18,Week 5,LinkedIn,Engineers do not need more random PMP content; they need a route,LinkedIn post,Awareness,Get My PMP 2026 Roadmap,TBD,Sheikh,Copy ready,PMP for engineers,Post copy,Founder authority. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-19,Week 5,X / Threads,PMP makes more sense when mapped to your project background,Short post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP project background,Short post copy,Short CTA. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-20,Week 5,Email / Newsletter,PMP for engineers moving into project leadership,Email,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP project leadership,Email copy,Audience-specific. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-21,Week 5,Website,Add engineer-focused FAQ block,FAQ update,AEO/GEO,Roadmap CTA,TBD,Developer + Mahaa,Done,engineer PMP FAQ,"FAQ copy, schema",Done closeout 2026-06-22: pmp-engineer-faq on PMP cluster
2026-07-22,Week 5,Internal,Review lead source and objections,Internal review,Operations,N/A,TBD,Sheikh,Planned,objection review,Lead notes,Weekly review.. Owner ops — not dev
2026-07-23,Week 6,Website,PMP for GCC professionals,Landing/article page,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Blocked,PMP GCC,Page copy,Regional positioning. OA-008 deferred OA-008 deferred
2026-07-24,Week 6,Website,PMP for UAE Saudi Qatar project professionals,Topic cluster,AEO/GEO,Get My PMP 2026 Roadmap,TBD,Mahaa,Blocked,PMP UAE Saudi Qatar,Topic copy,Location cluster. OA-008 deferred OA-008 deferred
2026-07-25,Week 6,LinkedIn,PMP in GCC is not just an exam; it is a credibility signal,LinkedIn post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP GCC credibility,Post copy,Regional authority. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-26,Week 6,X / Threads,GCC project professionals need structure not course overload,Short post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,GCC PMP prep,Short post copy,Short CTA. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-27,Week 6,Email / Newsletter,PMP readiness for GCC project professionals,Email,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP GCC readiness,Email copy,Regional email. Copy in marketing-drafts/90-day-social-email-copy.md
2026-07-28,Week 6,Website,Add GCC FAQ block,FAQ update,AEO/GEO,Roadmap CTA,TBD,Developer + Mahaa,Blocked,GCC PMP FAQ,"FAQ copy, schema",Support AI answers. OA-008 deferred OA-008 deferred
2026-07-29,Week 6,Internal,6-week conversion review,Internal review,Operations,N/A,TBD,Sheikh,Planned,conversion review,Metrics,Midpoint check.. Owner ops — not dev
2026-07-30,Week 7,Website,PMP for South Asia professionals targeting GCC/global roles,Landing/article page,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Blocked,PMP South Asia GCC,Page copy,Career mobility. OA-008 deferred OA-008 deferred
2026-07-31,Week 7,Website,PMP is not a shortcut but it can structure your credibility,Article,Awareness,Roadmap CTA,TBD,Mahaa,Planned,PMP credibility,Article copy,Positioning.
2026-08-01,Week 7,LinkedIn,South Asia professionals should not buy PMP prep like a cheap commodity,LinkedIn post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP South Asia,Post copy,No low-price trap. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-02,Week 7,X / Threads,PMP prep should connect to your actual career direction,Short post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP career direction,Short post copy,Short CTA. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-03,Week 7,Email / Newsletter,PMP roadmap for South Asia professionals,Email,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP South Asia roadmap,Email copy,Regional email. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-04,Week 7,Website,Add South Asia FAQ block,FAQ update,AEO/GEO,Roadmap CTA,TBD,Developer + Mahaa,Blocked,South Asia PMP FAQ,"FAQ copy, schema",Support AI answers. OA-008 deferred OA-008 deferred
2026-08-05,Week 7,Internal,Review regional lead quality,Internal review,Operations,N/A,TBD,Sheikh,Planned,regional lead quality,Lead source data,Weekly review.. Owner ops — not dev
2026-08-06,Week 8,Website,How to structure PMP study after the 2026 exam change,Article,Consideration,Get My PMP 2026 Roadmap,TBD,Mahaa,Done,PMP study plan 2026,Article copy,Done closeout 2026-06-22: /pmp-study-plan-2026 cluster guide
2026-08-07,Week 8,Website,PMP mock exam tracking framework,Lead magnet / guide,Conversion,Get My PMP 2026 Roadmap,TBD,Mahaa,Done,PMP mock tracking,Guide copy,Done closeout 2026-06-22: #pmp-mock-tracking-cta + /pmp-mock-exam service page
2026-08-08,Week 8,LinkedIn,Most PMP candidates do not need more material; they need tracking,LinkedIn post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP mock tracking,Post copy,Positioning. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-09,Week 8,X / Threads,Your mock score means nothing without weak-area tracking,Short post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP weak areas,Short post copy,Short CTA. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-10,Week 8,Email / Newsletter,How to know when you are ready for PMP,Email,Conversion,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP readiness,Email copy,Conversion email. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-11,Week 8,Website,Add mock-tracking CTA block,Landing page update,Conversion,Roadmap CTA,TBD,Developer + Mahaa,Done,mock tracking CTA,CTA copy,Done closeout 2026-06-22: pmp-mock-tracking-cta section
2026-08-12,Week 8,Internal,60-day proof checkpoint,Internal review,Operations,N/A,TBD,Sheikh,Planned,proof checkpoint,Metrics,Use kill/pivot thresholds.. Owner ops — not dev
2026-08-13,Week 9,Internal,Request testimonial from first learners,Testimonial process,Trust,N/A,TBD,Sheikh,Planned,testimonial collection,Permission template,Collect proof.. Owner ops — not dev
2026-08-14,Week 9,Website,Add verified learner story placeholder or real story if approved,Trust section,Trust,Roadmap CTA,TBD,Developer + Mahaa,Done,verified learner story,Approved testimonial or placeholder,Done closeout 2026-06-22: permission placeholder OA-011
2026-08-15,Week 9,LinkedIn,PMP prep should not promise a pass; it should prove readiness,LinkedIn post,Trust,Roadmap CTA,TBD,Sheikh,Copy ready,PMP no pass guarantee,Post copy,Trust-building. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-16,Week 9,X / Threads,No responsible PMP prep should guarantee a pass,Short post,Trust,Roadmap CTA,TBD,Sheikh,Copy ready,PMP pass guarantee,Short post copy,Trust. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-17,Week 9,Email / Newsletter,What good PMP readiness support should and should not promise,Email,Trust,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP readiness support,Email copy,Trust email. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-18,Week 9,Website,Add trust FAQ block,FAQ update,AEO/GEO,Roadmap CTA,TBD,Developer + Mahaa,Done,PMP trust FAQ,"FAQ copy, schema",Done closeout 2026-06-22: pmp-trust-faq section
2026-08-19,Week 9,Internal,Review testimonial permission status,Internal review,Operations,N/A,TBD,Sheikh,Planned,testimonial permission,Permission tracker,Weekly review.. Owner ops — not dev
2026-08-20,Week 10,Website,Corporate PMP 2026 readiness for teams,Corporate landing draft,B2B,Request Team Roadmap,TBD,Mahaa,Planned,corporate PMP readiness,Corporate copy,B2B lead.
2026-08-21,Week 10,Internal,Create corporate one-page proposal,Sales asset,B2B,N/A,TBD,Sheikh + Mahaa,Planned,corporate PMP proposal,Proposal copy,Sales asset.. Owner ops — not dev
2026-08-22,Week 10,LinkedIn,Companies do not need more PMP certificates; they need project capability,LinkedIn post,B2B,Request Team Roadmap,TBD,Sheikh,Copy ready,corporate PMP capability,Post copy,B2B post. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-23,Week 10,X / Threads,Team PMP readiness is a delivery capability issue,Short post,B2B,Team roadmap CTA,TBD,Sheikh,Copy ready,team PMP readiness,Short post copy,B2B short. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-24,Week 10,Email / Newsletter,PMP readiness for project teams and PMOs,Email,B2B,Request Team Roadmap,TBD,Mahaa,Copy ready,PMP PMO teams,Email copy,B2B email. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-25,Week 10,Outreach,Build first corporate lead list,Manual outreach list,B2B,Meeting request,TBD,Sheikh,Planned,corporate lead list,Target list,Manual outreach.
2026-08-26,Week 10,Internal,Review corporate lead progress,Internal review,Operations,N/A,TBD,Sheikh,Planned,corporate lead review,Lead notes,Weekly review.. Owner ops — not dev
2026-08-27,Week 11,Website,PMP vs PRINCE2,Comparison page,Consideration,Compare Certification Pathways,TBD,Mahaa,Done,PMP vs PRINCE2,Comparison page copy,Done closeout 2026-06-22: /certifications/compare
2026-08-28,Week 11,Website,PMP vs PMI-RMP,Comparison page,Consideration,Compare Certification Pathways,TBD,Mahaa,Done,PMP vs PMI-RMP,Comparison page copy,Done closeout 2026-06-22: /certifications/compare
2026-08-29,Week 11,LinkedIn,PMP is not always the right next certification,LinkedIn post,Consideration,Compare Certification Pathways,TBD,Sheikh,Copy ready,certification comparison,Post copy,Comparison post. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-30,Week 11,X / Threads,Choose the certification that fits your role not the loudest one,Short post,Awareness,Compare CTA,TBD,Sheikh,Copy ready,choose certification,Short post copy,Comparison short. Copy in marketing-drafts/90-day-social-email-copy.md
2026-08-31,Week 11,Email / Newsletter,"PMP, PRINCE2, PMI-RMP, or Six Sigma?",Email,Consideration,Compare Certification Pathways,TBD,Mahaa,Copy ready,certification comparison,Email copy,Copy in marketing-drafts/90-day-social-email-copy.md
2026-09-01,Week 11,Website,Add waitlist CTAs for secondary pathways,Page update,Conversion,Join Waitlist,TBD,Developer + Mahaa,Done,certification waitlist,CTA copy,Done closeout 2026-06-22: compare waitlist block
2026-09-02,Week 11,Internal,Review secondary pathway demand,Internal review,Operations,N/A,TBD,Sheikh,Planned,demand review,Lead data,Weekly review.. Owner ops — not dev
2026-09-03,Week 12,Website,Improve PMP 2026 landing page from real objections,Page update,Conversion,Get My PMP 2026 Roadmap,TBD,Developer + Mahaa,Done,PMP landing page conversion,Objection data,Done closeout 2026-06-22: pmp-considerations on /certifications/pmp
2026-09-04,Week 12,Website,Add objection-handling FAQ,FAQ update,Trust,Roadmap CTA,TBD,Mahaa,Done,PMP objections FAQ,FAQ copy,Done closeout 2026-06-22: #pmp-considerations + FAQPage schema on /certifications/pmp
2026-09-05,Week 12,LinkedIn,What PMP candidates asked us after the 2026 change,LinkedIn post,Trust,Roadmap CTA,TBD,Sheikh,Copy ready,PMP candidate questions,Post copy,Safe insights. Copy in marketing-drafts/90-day-social-email-copy.md
2026-09-06,Week 12,X / Threads,The best PMP plan is the one matched to your timeline,Short post,Awareness,Roadmap CTA,TBD,Sheikh,Copy ready,PMP timeline plan,Short post copy,Short CTA. Copy in marketing-drafts/90-day-social-email-copy.md
2026-09-07,Week 12,Email / Newsletter,PMP 2026 readiness: what we learned from candidates,Email,Trust,Get My PMP 2026 Roadmap,TBD,Mahaa,Copy ready,PMP readiness insights,Email copy,Safe insights. Copy in marketing-drafts/90-day-social-email-copy.md
2026-09-08,Week 12,Internal,Review conversion objections and refund risk,Internal review,Operations,N/A,TBD,Sheikh,Planned,conversion review,Metrics,Weekly review.. Owner ops — not dev
2026-09-09,Week 12,Website,Final 90-day funnel cleanup before review,Technical/content update,Conversion,Roadmap CTA,TBD,Developer + Mahaa,Done,PMP funnel cleanup,Page fixes,Done closeout 2026-06-22: compare#secondary-waitlist + cert hub link
