Competitor_ID,URL,Estimated_Traffic,Ranking_Keywords,Backlinks,Referring_Domains,Authority_Metric,Keyword_Volume_Primary,Keyword_Difficulty_Primary,SERP_Features,PageSpeed_Mobile,PageSpeed_Desktop,Indexed_Status,Data_Tool,Data_Date,Confidence,Notes
PMI-PMP,https://www.pmi.org/certifications/project-management-pmp,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,URL 1 — official reference; automated fetch 403
PMTRAINING,https://www.pmtraining.com/,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,URL 2 — T-129; live page verified for copy only
SIMPLILEARN,https://www.simplilearn.com/project-management/pmp-certification-training,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,URL 3 — T-130
COURSERA,https://www.coursera.org/courses?query=pmp,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,URL 4 — T-131; marketplace SERP not single provider
KNOWLEDGEHUT,https://www.knowledgehut.com/project-management/pmp-certification-training,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,URL 5 — T-132
PMI-ATP,https://www.pmi.org/learning/authorized-training-partners,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,Official ATP reference; fetch 403
IPM-GUIDE,https://instituteprojectmanagement.com/blog/best-project-management-certification-2026-expert-guide/,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,Content reference only
PRINCE2,https://www.prince2.com/,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,Secondary cert reference
SIXSIGMA,https://www.sixsigmacouncil.org/,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,None,2026-06-18,Requires owner research,Secondary cert reference
PMSTRUCTURE,https://pmstructure.com/certifications/pmp,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires tool export,TBD — requires GSC export,None,2026-06-18,Requires owner research,Own-site — fill from GSC/Ahrefs when available
