Week,Date,Content_Type,Title,Target_URL,Primary_Keyword,Intent,CTA,Internal_Links,Status,Owner,Notes
"Week 1","2026-06-23","authority guide","PMP Exam 2026 Guide","/topics/pmp-exam-2026","PMP exam 2026","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /faq","Implemented","Mahaa",""
"Week 1","2026-06-24","answer page","Is the PMP exam changing in 2026?","/answers/is-the-pmp-exam-changing-in-2026","is the PMP exam changing in 2026","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Implemented","Mahaa",""
"Week 1","2026-06-25","FAQ expansion","PMP 2026 + training hours vs PDUs","/faq","PMP training hours vs PDUs","Trust","Get My PMP 2026 Roadmap","/certifications/pmp","In progress","Mahaa",""
"Week 1","2026-06-26","LinkedIn post","Why PMP 2026 needs a roadmap not random videos","/certifications/pmp","PMP 2026 roadmap","Awareness","Get My PMP 2026 Roadmap","/topics/pmp-exam-2026","Planned","Mahaa",""
"Week 2","2026-06-30","answer page","Should I take PMP before the 2026 update?","/answers/should-i-take-pmp-before-8-july-2026","PMP before 2026 update","Decision","Get My PMP 2026 Roadmap","/certifications/pmp","Implemented","Mahaa",""
"Week 2","2026-07-01","FAQ expansion","PMP training hours vs PDUs","/faq","PMP training hours PDUs","Trust","Get My PMP 2026 Roadmap","/certifications/pmp","In progress","Mahaa",""
"Week 2","2026-07-02","comparison page","PMP current path vs updated path","/pmp-current-vs-new-exam","current vs new PMP exam","Informational","Get My PMP 2026 Roadmap","/certifications/pmp","Implemented","Mahaa",""
"Week 2","2026-07-03","X post","Candidates fail from weak study structure not lack of content","/certifications/pmp","PMP study structure","Awareness","Get My PMP 2026 Roadmap","/topics/pmp-exam-2026","Planned","Mahaa",""
"Week 3","2026-07-07","authority guide","PMP readiness checklist","/pmp-readiness-diagnostic","PMP readiness checklist","Decision","Get My PMP 2026 Roadmap","/certifications/pmp","Planned","Mahaa",""
"Week 3","2026-07-08","answer page","How do I know if I am ready for PMP?","/answers/what-is-pmp-readiness","PMP readiness","Decision","Get My PMP 2026 Roadmap","/certifications/pmp","Implemented","Mahaa",""
"Week 3","2026-07-09","corporate brief","PMP 2026 readiness for teams","/pm-service","corporate PMP readiness","Commercial","Talk to a Mentor","/certifications/pmp","Planned","Mahaa",""
"Week 3","2026-07-10","LinkedIn post","PMOs should plan PMP cohorts before exam transition","/pm-service","corporate PMP 2026","Awareness","Talk to a Mentor","/certifications/pmp","Planned","Mahaa",""
"Week 4","2026-07-14","Regional section","PMP for GCC professionals","TBD","PMP for GCC","Regional","Get My PMP 2026 Roadmap","/certifications/pmp","Planned","Owner","Dedicated landing TBD"
"Week 4","2026-07-15","Regional section","PMP for South Asia career mobility","TBD","PMP South Asia GCC","Regional","Get My PMP 2026 Roadmap","/certifications/pmp","Planned","Owner","Dedicated landing TBD"
"Week 4","2026-07-16","comparison page","PMP vs PRINCE2","/certifications/compare","PMP vs PRINCE2","Comparison","Compare Certification Pathways","/certifications/pmp","Planned","Mahaa",""
"Week 4","2026-07-17","FAQ expansion","Exam fee refund support independent disclaimer","/faq","PMP exam fee refund","Trust","Get My PMP 2026 Roadmap","/legal/pricing-disclaimers","In progress","Mahaa",""
"Week 5","TBD","answer page","PMP for engineers","Planned","pmp for engineers","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Content calendar","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 5","TBD","newsletter","Mock exam readiness","/pmp-mock-exam","mock exam readiness","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Implemented","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 5","TBD","social","Common PMP mistakes","Planned","common pmp mistakes","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Newsletter or answer","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 6","TBD","answer page","PMP vs PMI-RMP","/certifications/compare","pmp vs pmi-rmp","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Planned","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 6","TBD","newsletter","Corporate PMP readiness","/pm-service","corporate pmp readiness","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Planned","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 6","TBD","social","PMP study plan 2026","/pmp-study-plan-2026","pmp study plan 2026","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Implemented","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 7","TBD","answer page","Training hours guidance","/faq","training hours guidance","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","In progress","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 7","TBD","newsletter","Current vs updated exam decision","/pmp-current-vs-new-exam","current vs updated exam decision","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Implemented","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 7","TBD","social","Short video: roadmap CTA","/certifications/pmp","short video: roadmap cta","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Planned","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 8","TBD","answer page","Carousel: 2026 timeline","/pmp-exam-timeline-2026","carousel: 2026 timeline","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Planned","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 8","TBD","newsletter","Case note: readiness structure","/certifications/pmp","case note: readiness structure","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Planned","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
"Week 8","TBD","social","Newsletter: PMP 2026 transition","/newsletter/2026-pmp-exam-changes","newsletter: pmp 2026 transition","Informational","Get My PMP 2026 Roadmap","/certifications/pmp; /topics/pmp-exam-2026","Implemented","Mahaa","90-day expansion — see pmstructure-90-day-marketing-schedule.csv for channel ops"
