URL,Route,Page_Role,Status_Code,Indexability,Canonical_URL,Sitemap_Status,Title_Status,Meta_Status,H1_Status,Schema_Status,OG_Status,Breadcrumb_Status,CTA_Status,Analytics_Status,PageSpeed_Status,Crawl_Status,Recommended_Action,Owner,Implementation_Status,Notes
https://pmstructure.com/,/,Homepage,Verified 200,Verified index,https://pmstructure.com/,Verified included,Verified,Verified,Verified (owner review H1),Verified code,N/A,Verified partial,Verified CTAs present,Pending GA4,Partial Lighthouse 66 mobile,Partial sitemap audit,Verify homepage after full crawl + GSC,Mahaa,Verified live,B06 on-page audit OK. Live 2026-06-20. Evidence: evidence/b15-post-fix-verification-fetch-2026-06-20.json
https://pmstructure.com/certifications,/certifications,Certification hub,Verified 200,Verified index,https://pmstructure.com/certifications,Verified included,Verified,Verified,Verified,Verified code,N/A,Verified,Verified,Pending GA4,Partial Lighthouse 51 mobile,Partial sitemap audit,Verify cert hub routes to PMP 2026,Developer,Verified live,Live 2026-06-20.
https://pmstructure.com/certifications/pmp,/certifications/pmp,Primary PMP commercial page,Verified 200,Verified index P0,https://pmstructure.com/certifications/pmp,Verified included,Verified,Verified,Verified,Verified code,N/A,Verified,Verified enroll CTAs,Pending GA4,Partial Lighthouse 65 mobile,Partial sitemap audit,Maintain as primary money page; no /pmp redirect until owner decides,Sheikh,Verified live,Must not compete undocumented with /pmp. Live 2026-06-20.
https://pmstructure.com/topics/pmp-exam-2026,/topics/pmp-exam-2026,PMP 2026 topic hub,Verified 200,Verified index P0,https://pmstructure.com/topics/pmp-exam-2026,Verified included,Verified,Verified,Verified,Verified code,N/A,Verified,Verified links to commercial,Pending GA4,Pending PSI,Partial sitemap audit,Maintain as primary topic hub,Developer,Verified live,Preferred informational owner vs /pmp-exam-2026 cluster. Live 2026-06-20.
https://pmstructure.com/answers/is-the-pmp-exam-changing-in-2026,/answers/is-the-pmp-exam-changing-in-2026,Direct answer page,Verified 200,Verified index P0,https://pmstructure.com/answers/is-the-pmp-exam-changing-in-2026,Verified included,Verified,Verified,Verified,Verified code,N/A,Verified,Verified pathway CTA,Pending GA4,Pending PSI,Partial sitemap audit,None,Developer,Verified,Live 2026-06-20: no TODO in HTML.
https://pmstructure.com/answers,/answers,Answer hub,Pending crawl,Verified index,https://pmstructure.com/answers,Verified included,Pending B06 audit,Pending B06 audit,Pending B06 audit,Verified code,N/A,Verified,Verified,Pending GA4,Pending PSI,Partial sitemap audit,Confirm hub not thin after crawl,T-137,Mahaa,Implemented code
https://pmstructure.com/topics,/topics,Topic hub,Pending crawl,Verified index,https://pmstructure.com/topics,Verified included,Pending B06 audit,Pending B06 audit,Pending B06 audit,Verified code,N/A,Verified,Verified links to PMP 2026 guide,Pending GA4,Pending PSI,Partial sitemap audit,Confirm hub links to /topics/pmp-exam-2026,T-138,Developer,Implemented code
https://pmstructure.com/faq,/faq,FAQ/trust page,Verified 200,Verified index,https://pmstructure.com/faq,Verified included,Verified minor meta,Verified,Verified,Verified FAQ schema,N/A,Verified,Verified,Pending GA4,Pending PSI,Partial sitemap audit,Keep claim-safe exam-fee FAQ,Mahaa,Verified live,Claims review in legal register. Live 2026-06-20.
https://pmstructure.com/privacy,/privacy,Legacy privacy URL,Verified 308,308 → /legal/privacy,https://pmstructure.com/legal/privacy,Verified excluded,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Verified,None,Developer,Verified,Live 308 confirmed 2026-06-20.
https://pmstructure.com/terms,/terms,Legacy terms URL,Verified 308,308 → /legal/terms,https://pmstructure.com/legal/terms,Verified excluded,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Verified,None,Developer,Verified,Live 308 confirmed 2026-06-20.
