Source_URL,Source_Path,Destination_Path,Keyword,Content_Type,Intent,Redirect_Type,Priority,Data_Source,Reason,Implementation_Status,Notes
"https://pmstructure.com/pmp-certification-uae","/pmp-certification-uae","/certifications/pmp","pmp certification uae","Course landing page","Commercial","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/online-pmp-course","/online-pmp-course","/certifications/pmp","online pmp course","Online course page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-training-uae","/pmp-training-uae","/certifications/pmp","pmp training uae","Course landing page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-training-egypt","/pmp-training-egypt","/certifications/pmp","pmp training egypt","Course landing page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/online-pmp-certification-course","/online-pmp-certification-course","/certifications/pmp","online pmp certification course","Online course page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/how-to-get-pmp-certification","/how-to-get-pmp-certification","/certifications/pmp","how to get pmp certification","Guide","Informational","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-certification-saudi-arabia","/pmp-certification-saudi-arabia","/certifications/pmp","pmp certification saudi arabia","Course landing page","Commercial","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-certification-egypt","/pmp-certification-egypt","/certifications/pmp","pmp certification egypt","Course landing page","Commercial","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-course-egypt","/pmp-course-egypt","/certifications/pmp","pmp course egypt","Course landing page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-training-saudi-arabia","/pmp-training-saudi-arabia","/certifications/pmp","pmp training saudi arabia","Course landing page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-exam-prep-course","/pmp-exam-prep-course","/certifications/pmp","pmp exam prep course","Exam prep page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-exam-preparation","/pmp-exam-preparation","/certifications/pmp","pmp exam preparation","Exam prep page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-syllabus","/pmp-syllabus","/certifications/pmp","pmp syllabus","Blog/FAQ","Informational","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/scrum-master-certification-training","/scrum-master-certification-training","/certifications","scrum master certification training","Course page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/project-management-course-uae","/project-management-course-uae","/certifications/pmp","project management course uae","Course landing page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-course-saudi-arabia","/pmp-course-saudi-arabia","/certifications/pmp","pmp course saudi arabia","Course landing page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-course-uae","/pmp-course-uae","/certifications/pmp","pmp course uae","Course landing page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-mock-exam","/pmp-mock-exam","/pmp-mock-exam","pmp mock exam","Lead magnet page","Lead Magnet","KEEP (no redirect)","P1","Keyword H1 Meta workbook","Live lead-magnet page","Implemented","Popup on direct visit"
"https://pmstructure.com/pmp-practice-questions","/pmp-practice-questions","/pmp-mock-exam","pmp practice questions","Lead magnet/blog","Lead Magnet","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-eligibility-requirements","/pmp-eligibility-requirements","/certifications/pmp","pmp eligibility requirements","Blog/FAQ","Informational","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/corporate-project-management-training","/corporate-project-management-training","/pm-service","corporate project management training","Corporate service page","B2B Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/project-management-course-egypt","/project-management-course-egypt","/certifications/pmp","project management course egypt","Course page","Transactional","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
"https://pmstructure.com/pmp-study-plan","/pmp-study-plan","/pmp-study-plan-2026","pmp study plan","Blog","Informational","301 permanent","P1","Keyword H1 Meta workbook","Consolidate ranking on hub + lead popup","Implemented","Destination includes ?from=slug for popup"
