Event_Name,Trigger,GA4_Key_Event_Candidate,Implementation_Status,Page_or_Component,Required_Parameters,PII_Risk,Testing_Method,Owner_Approval,Notes
pms_roadmap_cta_click,Click on PMP roadmap CTA,No,Implemented,"PmpRoadmapCtaLink; CertRoadmapCta; BottomCtaRotator; Navbar","page_path; cta_text; cta_location; offer_id; offer_name; certification; funnel_stage",Low,Tag Assistant + DebugView,Not required,ComparePathwaysCtaLink untracked — optional micro-event only
pms_roadmap_form_start,First interaction with roadmap form,No,Implemented,PmpRoadmapLeadForm,"form_id; form_name; offer_id; offer_name; certification; page_path; region_group",Low,Tag Assistant + DebugView,Not required,Fire once per form via formStartedRef
generate_lead,Successful lead form submission,Yes,Implemented,PmpRoadmapLeadForm (res.ok only),"form_id; form_name; lead_type; offer_id; offer_name; certification; page_path; region_group",Medium,Test lead + DebugView,Owner test approval required,Do not fire on failed validation
pms_roadmap_form_submit,Successful PMP roadmap form submission,Yes,Implemented,PmpRoadmapLeadForm (res.ok only),"form_id; form_name; lead_type; offer_id; offer_name; certification; page_path; region_group",Medium,Test lead + DebugView,Owner test approval required,Fires with generate_lead on success — intentional
pms_booking_click,Booking/schedule click,Yes if primary,Implemented,"open-themed-popup.ts; WebsiteCalendlyButton; TrackedConversionLink","booking_type; destination; page_path; cta_text; offer_id; offer_name; certification",Low,Click test + DebugView,Not required,Does not delay external Calendly open
pms_contact_click,Email/WhatsApp/phone/contact click,Maybe,Implemented,"TrackedContactLink; Footer; Contact; ProgramEnrollmentSuccess; FAQ; ChannelPortalFinalCta","contact_method; contact_context; page_path; cta_text",Medium,Click test + DebugView,Not required,Do not send email or phone as parameter
pms_waitlist_join,Successful secondary waitlist submission,Maybe,Implemented,WaitlistForm,"waitlist_type; offer_name; page_path; funnel_stage",Medium,Test submit + DebugView,Owner test approval required,Not a purchase
sign_up,Newsletter signup success,Maybe,Implemented,NewsletterSubscribeForm,"form_id; page_path",Medium,Test submit + DebugView,Owner test approval required,GA4 recommended event; no email in params
begin_checkout,Checkout/payment starts,Yes if payment live,Implemented,"CheckoutForm; StripeEmbeddedSeatCheckout; SeatDepositCheckout; StripePaymentLinkEmbed; MembershipCheckout","currency; value; package_type; items",Medium,Checkout test,Owner approval required,Membership checkout added B03
purchase,Verified payment success,Yes,Implemented,"ProgramEnrollmentSuccess; checkout/store/success; membership/checkout/success","transaction_id; currency; value; package_type; items",High,Payment test or sandbox,Owner approval required,Only after verifyCheckoutSession paid; trackPurchaseOnce dedup
pms_membership_interest,Membership CTA/submit interest,Maybe,Skipped,Membership page,"offer_name; page_path; funnel_stage",Low,N/A,Not required,No dedicated interest submit — checkout is begin_checkout/purchase
pms_resource_interest,Resource/store interest CTA,Maybe,Skipped,Community store,"offer_name; page_path",Low,N/A,Not required,Store uses begin_checkout + purchase on live checkout
qualify_lead,Lead marked qualified offline,Yes later,Documented only,CRM/manual,"lead_id; offer_id; qualification_status; value; currency",High,Offline process,Owner approval required,Do not implement without backend/consent
close_convert_lead,Lead becomes paid learner offline,Yes later,Documented only,CRM/manual,"lead_id; offer_id; package_type; value; currency",High,Offline process,Owner approval required,Do not implement without backend/consent
close_unconvert_lead,Lead does not convert,No,Documented only,CRM/manual,lead_id; offer_id,Low,Offline process,Not required,Internal analysis only
disqualify_lead,Spam/unqualified lead,No,Documented only,CRM/manual,lead_id; reason,Low,Offline process,Not required,Lead-quality reporting
