URL,Route,Title_Current,Title_Recommended,Title_Status,Meta_Current,Meta_Recommended,Meta_Status,H1_Current,H1_Recommended,H1_Status,H2_Issues,Internal_Link_Issues,Alt_Text_Issues,Form_Issues,Mobile_Issues,Action,Owner_Approval,Implementation_Status,Notes
https://pmstructure.com/,/,PM Structure | PMP 2026 Readiness & Project Certification Pathways,PM Structure | PMP 2026 Readiness & Project Certification Support,OK,Prepare for the PMP 2026 exam change with structured roadmap support...,Find structured PMP 2026 readiness support and certification pathways...,OK,Prepare for the PMP exam change with a clear route...,PMP 2026 Readiness Structured for Serious Project Professionals,Owner review,None,Added cert hub community membership pm-service links,Hero avatars decorative alt="" OK,Responsive dual-mount roadmap forms (mobile+desktop+insights) — intentional,None,Keep T169 H1; expand relatedLinks,Homepage H1,Implemented,T169 homeTitle in page.tsx
https://pmstructure.com/certifications,/certifications,Project Management Certification Pathways | PM Structure,Project Management Certification Pathways | PM Structure,OK,Compare PMP PRINCE2 PMI-RMP...,Compare PMP PRINCE2 PMI-RMP...,OK,Choose the project management certification pathway...,Project Management Certification Pathways,Minor copy diff,None,Expanded related block with secondary certs,None,None,None,Expand cert hub links,None,Implemented,
https://pmstructure.com/certifications/pmp,/certifications/pmp,PMP 2026 Readiness Pathway | PM Structure,PMP 2026 Readiness Pathway | PM Structure,OK,Decide whether to prepare for the current or updated PMP exam...,Prepare for the PMP 2026 exam transition...,OK,PMP 2026 Readiness Pathway,PMP 2026 Readiness Pathway,OK,Review section headings vs B06 list,RelatedGuidesLinks via PHASE_2_RELATED_BLOCKS,None,Responsive dual-mount cert forms — intentional,None,Keep,None,Implemented,Money page
https://pmstructure.com/topics/pmp-exam-2026,/topics/pmp-exam-2026,PMP Exam 2026 Guide | PM Structure,PMP Exam 2026 Guide | PM Structure,OK,Understand the PMP exam 2026 change...,Explore PMP exam 2026 updates...,OK,PMP Exam 2026 Guide,PMP Exam 2026 Guide,OK,Review vs B06 H2 list,Added FAQ to related block,None,None,None,Title aligned B06,None,Implemented,
https://pmstructure.com/answers/is-the-pmp-exam-changing-in-2026,/answers/is-the-pmp-exam-changing-in-2026,Is the PMP Exam Changing in 2026? | PM Structure,Is the PMP Exam Changing in 2026? | PM Structure,OK,Yes. The PMP exam changes in July 2026...,Yes the PMP exam is changing in 2026...,OK,Is the PMP exam changing in 2026?,Is the PMP Exam Changing in 2026?,OK,Review answer H2 structure,Related block OK,None,None,None,Keep,None,Implemented,
https://pmstructure.com/faq,/faq,PM Structure FAQ | PMP Certification Prep & Readiness Support,PM Structure FAQ | PMP Readiness Training Hours & Support,Minor,Find answers about the about PM Structure...,Answers about PM Structure...,OK,PM Structure FAQ,PM Structure FAQ,OK,None,relatedLinks to PMP,None,None,None,Optional meta tweak,None,Implemented,Claim-safe wording kept
https://pmstructure.com/certifications/compare,/certifications/compare,Compare Project Management Certifications | PMP PRINCE2...,Compare Project Management Certifications | PM Structure,Minor,Compare PMP PRINCE2...,Compare PMP PRINCE2...,OK,Compare project management certifications,Compare Project Management Certification Pathways,Minor,None,Related block lists secondary certs,None,None,None,Keep long title for clarity,None,Implemented,
https://pmstructure.com/community,/community,Project Management Learning Community | PM Structure,PM Structure Learning Community,Minor,Join a structured...,Join a structured...,OK,Project Management Learning Community,PM Structure Learning Community,Minor,None,Links to PMP,None,None,Partial breadcrumbs,Document,None,Implemented,
https://pmstructure.com/membership,/membership,Project Management Learning Membership | PM Structure,PM Structure Membership,Minor,Use PM Structure membership...,Use PM Structure membership...,OK,Project Management Learning Membership,PM Structure Membership,Minor,None,Links to PMP,None,None,Partial breadcrumbs,Document,None,Implemented,
https://pmstructure.com/newsletter,/newsletter,Project Management Certification Newsletter | PM Structure,Project Management Certification Newsletter | PM Structure,OK,Get project management...,Get project management...,OK,Project Management Newsletter,Project Management Newsletter,OK,None,Links to PMP,None,None,None,Keep,None,Implemented,
